,number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
40,41,"[[0.13910768 0.17679598]
 [0.95751422 0.60728711]
 [0.96560426 0.44397505]
 [1.48720884 1.04933683]]",2.0,786,10.0
41,42,"[[1.60349594 0.06559373]
 [2.01238455 1.85155279]
 [1.08750718 0.30508506]
 [0.40002699 1.16218915]]",2.0,794,9.0
42,43,"[[0.17752621 0.31849513]
 [0.93202549 1.36760858]
 [0.67025416 1.80562393]
 [0.16811819 0.9353571 ]]",2.0,794,9.0
43,44,"[[1.29381112 1.05542603]
 [1.26550325 1.47661759]
 [1.49218058 1.25411003]
 [1.18521458 1.69555934]]",2.0,794,9.0
44,45,"[[1.31284541 0.31549903]
 [1.94978244 0.82600344]
 [0.52610458 1.42773617]
 [0.54904419 0.73104214]]",2.0,794,9.0
45,46,"[[1.02517088 0.85447614]
 [1.60869873 0.22762066]
 [1.07669466 0.89356356]
 [1.40124568 0.93227414]]",2.0,796,10.0
46,47,"[[0.79188391 2.01724337]
 [0.56510568 1.08099218]
 [2.00138226 1.57828223]
 [1.4238491  1.9417959 ]]",2.0,796,10.0
47,48,"[[1.10040694 0.80791779]
 [0.6346729  1.18248097]
 [0.91835975 0.84828725]
 [1.70341303 1.01385962]]",2.0,812,18.0
48,49,"[[0.78423039 1.92901963]
 [0.20849705 0.21860903]
 [0.68622178 0.72685383]
 [0.82867343 0.15793209]]",2.0,813,19.0
49,50,"[[1.1145554  1.90560792]
 [1.35370044 1.14062655]
 [1.60125081 0.24834997]
 [1.19932789 0.36405415]]",2.0,815,21.0
50,51,"[[1.84861702 0.48613494]
 [0.62636618 1.4084057 ]
 [0.53901703 0.27744145]
 [1.3554354  1.75831318]]",2.0,818,24.0
51,52,"[[0.1458595  0.08455701]
 [0.95838174 1.56989029]
 [0.33968562 1.21638669]
 [1.45992561 0.67861617]]",2.0,819,23.0
52,53,"[[2.0482941  0.52084443]
 [1.42302607 0.82614972]
 [1.76272432 1.99375456]
 [1.63705923 1.1654534 ]]",2.0,819,23.0
53,54,"[[0.50091561 1.53061918]
 [1.34605528 0.9680547 ]
 [0.89364099 1.56749666]
 [0.96369645 1.23270824]]",2.0,821,9.0
54,55,"[[0.83591778 0.42941562]
 [1.75341424 0.33148836]
 [1.71223704 1.21222658]
 [1.43696856 0.49916335]]",2.0,825,10.0
55,56,"[[0.23324676 0.48537701]
 [0.56377233 0.12154094]
 [1.4719193  0.39798911]
 [1.14365148 0.25525279]]",2.0,825,12.0
56,57,"[[1.29515864 1.49772903]
 [0.03899745 1.15553314]
 [0.67011597 1.37883855]
 [1.57089852 1.95134434]]",2.0,833,14.0
57,58,"[[1.78990796 1.32680732]
 [1.08994072 1.97552331]
 [1.23431044 0.20286618]
 [0.44487773 1.99439682]]",2.0,834,9.0
58,59,"[[0.08322339 0.33625893]
 [0.20643561 0.8056507 ]
 [2.03161588 0.46813451]
 [0.11669713 1.82606656]]",2.0,834,9.0
59,60,"[[1.21096284 1.70937714]
 [0.16827174 0.5875568 ]
 [0.37919632 0.43638204]
 [0.67892251 1.37681721]]",2.0,834,16.0
60,61,"[[0.43737929 0.27060537]
 [0.61333234 0.2649503 ]
 [0.81108459 0.66201229]
 [0.71257807 0.93980748]]",2.0,834,13.0
61,62,"[[0.72004762 1.04473253]
 [1.55191802 0.95003319]
 [1.20863802 1.55042027]
 [0.48742634 0.54449419]]",2.0,834,15.0
62,63,"[[1.45027605 1.77686214]
 [1.62055911 0.18440139]
 [0.39717844 1.6171924 ]
 [1.58794787 1.75082836]]",2.0,880,46.0
63,64,"[[1.29536158 1.59955294]
 [0.76835734 1.49446152]
 [1.6296579  0.57099643]
 [1.84990489 0.19782569]]",2.0,887,54.0
64,65,"[[0.16292802 1.48286183]
 [1.61162801 1.59023581]
 [1.79913668 1.74277827]
 [0.79915959 1.67220898]]",2.0,889,55.0
65,66,"[[0.5683689  1.77361854]
 [1.35244847 1.58831637]
 [1.83441733 0.36490254]
 [1.89072389 0.39627898]]",2.0,935,101.0
66,67,"[[0.46101339 1.88417394]
 [0.09383423 1.69998475]
 [0.11756297 1.15383402]
 [0.2342706  0.92825519]]",2.0,937,103.0
67,68,"[[1.57886854 1.59285304]
 [1.09447962 0.4317607 ]
 [1.18567795 1.89615887]
 [1.69723324 0.19040905]]",2.0,943,109.0
68,69,"[[1.49565083 0.39604204]
 [1.84491799 1.5433123 ]
 [0.61936991 0.62510222]
 [0.95896643 1.75599124]]",2.0,944,55.0
69,70,"[[1.45689934 0.94406213]
 [1.08535814 1.20230846]
 [0.05519178 0.64420543]
 [1.78130994 1.8590166 ]]",2.0,944,57.0
70,71,"[[0.89704041 1.02225611]
 [0.49965864 0.59328502]
 [1.3340563  1.20701197]
 [1.51048326 1.09421197]]",2.0,945,10.0
71,72,"[[1.33363804 0.12782819]
 [0.1054429  0.19383125]
 [1.3036768  0.88937554]
 [1.69241618 1.55924127]]",2.0,946,66.0
72,73,"[[1.79785202 1.90578151]
 [0.83881898 0.53571963]
 [0.28344688 1.01310703]
 [1.60670017 0.07279418]]",2.0,947,10.0
73,74,"[[0.58451367 0.67250831]
 [0.66462203 1.48972568]
 [0.16306196 1.53474899]
 [1.58492704 2.00327914]]",2.0,954,10.0
74,75,"[[0.98996299 0.56091573]
 [0.08862019 1.2079873 ]
 [1.29162464 0.17288255]
 [0.65948732 0.91808493]]",2.0,954,11.0
75,76,"[[0.94310103 1.88032031]
 [1.31065708 0.2978595 ]
 [0.82756367 1.35834186]
 [0.75969819 1.88936729]]",2.0,954,9.0
76,77,"[[0.79603095 0.73167743]
 [0.10055471 1.0538877 ]
 [1.11153113 1.16641861]
 [0.74455665 1.55296272]]",2.0,954,10.0
77,78,"[[2.01930438 0.09913333]
 [0.6976224  1.21789778]
 [1.39232669 0.79983209]
 [0.29783133 0.75702293]]",2.0,955,9.0
78,79,"[[0.09776106 1.69045758]
 [1.46560642 1.70601704]
 [0.11849656 1.96124098]
 [0.83590652 1.04580236]]",2.0,958,11.0
79,80,"[[1.62302908 0.26478791]
 [1.78536892 0.14601775]
 [0.33530083 1.59243742]
 [0.48673203 0.44018162]]",2.0,972,18.0
80,81,"[[1.86173043 1.96168921]
 [0.38459714 1.68918128]
 [0.92894444 1.35795508]
 [1.34307624 1.60528694]]",2.0,994,40.0
81,82,"[[0.09959197 1.2800454 ]
 [0.1486192  1.07033551]
 [1.53392717 1.81950217]
 [0.38998241 1.95661076]]",2.0,1003,9.0
82,83,"[[1.08985921 0.36871301]
 [1.32312914 0.42438538]
 [1.49122026 0.27214283]
 [0.47976427 1.95802694]]",2.0,1004,32.0
83,84,"[[0.10369673 1.59645324]
 [1.12375319 1.67809407]
 [0.34074357 0.34597125]
 [0.24381875 0.85334055]]",2.0,1004,46.0
84,85,"[[0.21916578 0.06922016]
 [0.74910553 0.56934628]
 [1.29343718 1.14981846]
 [1.69258721 2.01438861]]",2.0,1004,50.0
85,86,"[[1.99212112 0.37189966]
 [0.10935941 1.47143051]
 [0.21992168 1.35356772]
 [1.0172757  1.47852441]]",2.0,1005,50.0
86,87,"[[0.88692944 1.41109266]
 [0.19395601 0.50290651]
 [1.91597388 0.43100733]
 [0.06427109 0.95725507]]",2.0,1009,55.0
87,88,"[[0.5876717  1.14719985]
 [0.49714423 0.83479025]
 [0.72708801 0.69672592]
 [1.58587345 1.90543857]]",2.0,1017,13.0
88,89,"[[0.57155987 0.6904698 ]
 [1.20662077 0.4054541 ]
 [0.63457987 1.8628006 ]
 [1.10544178 1.94830292]]",2.0,1035,31.0
89,90,"[[1.17893752 0.03636974]
 [0.63722107 1.33070141]
 [0.35364699 1.37386476]
 [1.93065411 0.72114857]]",2.0,1040,37.0
90,91,"[[0.41565233 1.61012247]
 [1.46414512 1.81628836]
 [1.19228754 1.16104842]
 [0.53004179 1.21540299]]",2.0,1046,29.0
91,92,"[[1.18410415 1.28827407]
 [0.59527611 0.34570532]
 [1.9809726  0.36343457]
 [1.36093749 1.55143648]]",2.0,1049,14.0
92,93,"[[0.25943654 0.75249879]
 [1.93607843 1.66791592]
 [0.49826877 1.53359001]
 [1.14049762 1.10326136]]",2.0,1053,13.0
93,94,"[[1.40207469 1.59667649]
 [0.7246033  1.76695848]
 [1.72042012 1.8035987 ]
 [0.74103857 1.01749412]]",2.0,1079,75.0
94,95,"[[1.997244   1.02485358]
 [1.57724123 1.5521045 ]
 [1.87916955 0.7479285 ]
 [1.03613992 1.45008312]]",2.0,1082,77.0
95,96,"[[0.89887877 1.61006191]
 [1.04313122 1.52835112]
 [1.49734832 0.55325141]
 [1.39633368 0.7027334 ]]",2.0,1100,91.0
96,97,"[[0.34900148 1.28170811]
 [1.32110369 1.69451945]
 [1.85210616 0.50317082]
 [1.64638191 0.40452788]]",2.0,1103,57.0
97,98,"[[1.56875285 0.85112794]
 [0.08424386 0.82969447]
 [0.35804703 0.51516236]
 [1.45386567 0.95162424]]",2.0,1104,51.0
98,99,"[[1.15235065 0.65790531]
 [1.52471398 1.71750746]
 [0.66586688 0.18619872]
 [1.87700048 0.13903346]]",2.0,1105,23.0
99,100,"[[1.19448922 0.40621334]
 [1.43791995 0.24260277]
 [1.17758301 1.4550946 ]
 [1.05223621 1.19249475]]",2.0,1106,57.0
100,101,"[[1.20311235 1.76855691]
 [1.57981208 2.00152852]
 [0.99992211 1.09977087]
 [1.92007916 1.65118159]]",2.0,1109,30.0
101,102,"[[0.73051623 0.93479681]
 [1.36248237 1.86433818]
 [0.52243757 0.96233186]
 [1.6070591  1.63554233]]",2.0,1110,10.0
102,103,"[[0.20050794 1.8059002 ]
 [1.68827078 0.21829825]
 [0.79193092 1.95198923]
 [0.24055889 0.34839492]]",2.0,1116,13.0
103,104,"[[0.58998854 1.34444361]
 [0.73465784 0.48974606]
 [0.69847739 1.57892915]
 [0.72677926 0.74916834]]",2.0,1117,12.0
104,105,"[[1.1868434  0.85340284]
 [0.56904166 0.86793911]
 [1.7556564  1.41658785]
 [0.41035297 2.0423684 ]]",2.0,1117,11.0
105,106,"[[0.58916904 0.08601251]
 [0.76439648 1.85627975]
 [1.13329527 1.68111144]
 [1.82223103 1.960834  ]]",2.0,1118,9.0
106,107,"[[1.24918925 1.33342692]
 [0.93865278 0.35968535]
 [2.04611298 1.11094951]
 [0.82039036 1.33641725]]",2.0,1120,10.0
107,108,"[[1.72763411 0.88302115]
 [0.63707065 0.14125549]
 [1.10132587 1.16881387]
 [0.22963189 0.18816898]]",2.0,1120,16.0
108,109,"[[0.41720632 1.40696932]
 [1.98856877 1.56550555]
 [1.69228085 1.11833977]
 [0.27862053 1.1830793 ]]",2.0,1147,27.0
109,110,"[[1.51813092 0.43622593]
 [0.8466379  1.33962848]
 [0.22469531 0.1531381 ]
 [0.8893514  1.24397248]]",2.0,1147,27.0
110,111,"[[1.69708097 0.37130203]
 [1.62474413 0.21938239]
 [1.30208574 1.68623943]
 [0.74143101 0.1720559 ]]",2.0,1147,30.0
111,112,"[[1.86143104 0.05782093]
 [1.40668862 1.63790741]
 [1.81407959 0.28823429]
 [0.95482268 0.81535128]]",2.0,1150,32.0
112,113,"[[0.48480516 0.49173749]
 [0.12608021 0.3124014 ]
 [1.11224301 2.00546922]
 [1.38207415 1.19166658]]",2.0,1154,38.0
113,114,"[[1.01137763 0.27498357]
 [1.86330717 0.16926537]
 [1.98169386 2.0203486 ]
 [0.55038099 0.4379883 ]]",2.0,1158,11.0
114,115,"[[0.91154247 0.08369442]
 [1.91021362 1.46873136]
 [0.49882346 1.84196359]
 [0.8460622  1.32086981]]",2.0,1158,11.0
115,116,"[[0.89797881 0.38150857]
 [0.43543579 0.42591863]
 [1.29241587 0.22422693]
 [0.89523259 1.98492951]]",2.0,1158,11.0
