,number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
170,171,"[[2.03813133 0.6019581 ]
 [1.93349314 0.55478295]
 [1.37057176 0.65105251]
 [0.75031933 1.60982029]]",2.0,1499,51.0
171,172,"[[1.45583264 0.38138879]
 [1.17012944 1.31285896]
 [1.58385905 0.17311172]
 [1.31915349 0.65646928]]",2.0,1499,22.0
172,173,"[[0.64195937 1.04247027]
 [1.03160121 1.089677  ]
 [1.91737657 1.90737943]
 [0.75626534 0.35513348]]",2.0,1500,25.0
173,174,"[[1.29496425 1.12033485]
 [0.60073986 0.19113084]
 [1.76615542 1.06410711]
 [1.51884804 0.87367315]]",2.0,1500,34.0
174,175,"[[1.02373098 1.40096074]
 [1.89834754 1.57746723]
 [0.17528912 1.6704671 ]
 [1.13077891 1.2659394 ]]",2.0,1501,9.0
175,176,"[[1.48132884 1.50136434]
 [1.45888247 1.74369006]
 [1.51290896 0.90931093]
 [1.42169029 0.7313424 ]]",2.0,1621,123.0
176,177,"[[0.15494516 1.30537201]
 [1.077168   0.51240777]
 [0.49456631 1.00494459]
 [1.09928107 1.45188995]]",2.0,1621,122.0
177,178,"[[0.81167035 1.47946816]
 [0.73132921 1.16662058]
 [0.81349905 1.49506732]
 [0.79644545 0.19039609]]",2.0,1661,161.0
178,179,"[[0.53626333 1.97515187]
 [1.30140785 1.19409406]
 [1.4205403  1.64029249]
 [1.76101771 0.30931362]]",2.0,1667,166.0
179,180,"[[0.28759219 1.68729469]
 [0.26705297 1.52001948]
 [1.36991115 1.28277628]
 [1.49597307 1.08225331]]",2.0,1668,169.0
180,181,"[[0.54435439 0.43309111]
 [0.56110037 0.74762224]
 [1.40580169 1.87106352]
 [0.15186298 0.76306924]]",2.0,1669,169.0
181,182,"[[1.98309448 0.64483428]
 [0.42539383 1.75226751]
 [0.51323836 0.39960386]
 [0.87059398 0.21134876]]",2.0,1671,10.0
182,183,"[[0.9041497  0.38490194]
 [1.57875998 0.98554146]
 [1.71398033 0.68075439]
 [1.53177937 0.33652632]]",2.0,1674,53.0
183,184,"[[1.82919066 1.22902601]
 [0.33402169 0.84433167]
 [0.20769536 1.17475002]
 [0.53092182 1.78450696]]",2.0,1678,57.0
184,185,"[[1.41031016 0.06338093]
 [1.59149559 1.72326354]
 [1.13341601 0.86016791]
 [2.00785689 1.59148628]]",2.0,1680,13.0
185,186,"[[0.32047899 0.75057732]
 [0.69159148 0.49871984]
 [0.40801378 0.76878511]
 [0.6153583  1.69950126]]",2.0,1680,11.0
186,187,"[[0.32398227 0.49435266]
 [0.25633566 1.01613298]
 [0.18176848 1.57388167]
 [1.77141578 1.09222904]]",2.0,1681,13.0
187,188,"[[0.30064332 1.93481467]
 [1.08160327 1.5296971 ]
 [0.83322833 0.97845652]
 [0.97118693 1.33531477]]",2.0,1681,10.0
188,189,"[[0.8200232  0.21510949]
 [0.76354672 0.96278093]
 [1.40353934 1.21437359]
 [0.91848902 1.16644592]]",2.0,1690,9.0
189,190,"[[2.04090048 0.72283466]
 [1.97287184 1.72762872]
 [1.71139957 1.64974365]
 [1.77843856 1.50009667]]",2.0,1691,13.0
190,191,"[[0.08681061 0.67260835]
 [1.15586274 1.65892395]
 [1.48619909 1.60914422]
 [1.28936732 1.74222613]]",2.0,1691,11.0
191,192,"[[1.02350616 0.34582425]
 [0.45776945 1.84903126]
 [0.26630479 1.54678345]
 [1.66654172 0.8418814 ]]",2.0,1692,11.0
192,193,"[[0.33979518 0.26127191]
 [0.41886327 0.18697139]
 [1.78954702 0.93205999]
 [0.19585108 0.34916919]]",2.0,1694,14.0
193,194,"[[0.16871214 1.03823282]
 [1.37034546 0.37427747]
 [0.65070694 1.5203533 ]
 [0.12620901 0.17633102]]",2.0,1698,24.0
194,195,"[[1.49477551 0.79879686]
 [1.82982871 1.69376805]
 [1.17155937 1.65473914]
 [0.43891534 1.29423457]]",2.0,1718,28.0
195,196,"[[1.83641227 1.58907923]
 [0.32837959 1.12242092]
 [1.3526012  0.23975771]
 [1.06191128 1.8298408 ]]",2.0,1751,57.0
196,197,"[[1.23868343 1.80040447]
 [0.06804043 0.63223292]
 [0.26714846 1.73027463]
 [1.90996588 1.04246805]]",2.0,1763,72.0
197,198,"[[1.57351683 0.07332497]
 [1.14621444 1.33177411]
 [1.20529678 1.84849082]
 [0.65927723 1.7482043 ]]",2.0,1763,71.0
198,199,"[[1.25813142 0.53645119]
 [1.50134737 0.74268274]
 [0.69514264 0.81189935]
 [0.14567201 1.91492857]]",2.0,1764,66.0
199,200,"[[1.60921256 1.35602578]
 [1.08288114 0.95213586]
 [0.83768252 1.27331923]
 [1.59676144 1.429465  ]]",2.0,1765,74.0
200,201,"[[0.56112892 0.79858418]
 [1.60236574 1.3443595 ]
 [0.53967116 0.58414933]
 [1.33394984 1.29897491]]",2.0,1774,10.0
201,202,"[[0.82159628 0.64630229]
 [1.04334394 0.08582969]
 [0.26337809 1.87042222]
 [1.2162113  0.42582635]]",2.0,1775,12.0
202,203,"[[0.84445776 0.17213824]
 [0.42092813 0.14161454]
 [0.68645612 1.94100172]
 [1.46946441 1.94796117]]",2.0,1775,57.0
203,204,"[[1.2475667  0.36942575]
 [1.39599071 0.14232248]
 [1.08978662 1.73745921]
 [1.44338144 1.06650237]]",2.0,1776,11.0
204,205,"[[0.21015864 1.13751065]
 [0.94596067 1.61027909]
 [1.37177539 1.26022883]
 [0.31148602 1.20169741]]",2.0,1776,13.0
205,206,"[[1.14366597 1.8864515 ]
 [0.11412889 0.91494762]
 [1.79815294 1.23285796]
 [0.18327211 1.74272819]]",2.0,1784,33.0
206,207,"[[0.81689309 1.96116408]
 [1.78754205 1.96028762]
 [1.2706883  1.86082152]
 [0.55110939 0.4675819 ]]",2.0,1868,94.0
207,208,"[[1.93604007 0.99773908]
 [1.06848612 0.53412927]
 [1.26045365 0.76468666]
 [1.05484954 0.8259869 ]]",2.0,1871,96.0
208,209,"[[0.27937806 0.50486797]
 [0.62543048 0.62653381]
 [0.64153753 0.7178534 ]
 [0.97126996 0.16997846]]",2.0,1875,100.0
209,210,"[[0.88417425 0.74013597]
 [2.01468647 0.56594599]
 [1.53104417 0.25073574]
 [0.45640992 0.17032651]]",2.0,1878,94.0
210,211,"[[0.51291184 1.11976638]
 [1.62231974 1.7327456 ]
 [2.00127504 1.98713038]
 [1.66883915 0.08619147]]",2.0,1880,104.0
211,212,"[[0.3326984  1.83738695]
 [0.09079345 1.36322296]
 [0.49806673 1.65001404]
 [1.05451604 1.20360299]]",2.0,1883,107.0
212,213,"[[1.31473831 1.91497752]
 [0.23233081 0.21174193]
 [1.80833522 0.09075531]
 [0.77115598 1.07300086]]",2.0,1885,17.0
213,214,"[[0.54951041 1.46111458]
 [0.99127522 1.19813459]
 [1.4094806  1.09524364]
 [0.84060053 0.95759217]]",2.0,1886,11.0
214,215,"[[0.78805532 0.35893041]
 [1.58792395 1.35543482]
 [1.76388899 0.60632052]
 [1.81020689 0.86398454]]",2.0,1886,15.0
215,216,"[[1.00017414 1.12238155]
 [0.09633173 1.17720712]
 [1.45585707 0.9225258 ]
 [0.29273119 0.65528177]]",2.0,1889,9.0
216,217,"[[0.76519948 0.98471377]
 [0.32890136 1.71832738]
 [1.39501412 1.65274332]
 [0.94115571 1.09944317]]",2.0,1890,12.0
217,218,"[[1.77224259 0.12937409]
 [1.6272674  1.77878762]
 [0.23220502 2.03907729]
 [0.31910963 1.61083329]]",2.0,1893,8.0
218,219,"[[1.5736609  0.3237202 ]
 [1.69161851 1.81499437]
 [1.31515513 1.83603908]
 [1.44857345 1.17149529]]",2.0,1895,9.0
219,220,"[[1.124763   1.31095477]
 [0.51034216 1.87726989]
 [1.47964038 1.06532556]
 [1.75544556 1.44698121]]",2.0,1895,9.0
220,221,"[[1.93655305 0.15364204]
 [0.85726469 1.55749911]
 [0.59372341 1.23528813]
 [0.22809128 0.41505006]]",2.0,1895,12.0
221,222,"[[1.71197927 1.53838971]
 [1.10958991 1.9118459 ]
 [1.26137424 0.15314218]
 [0.73373168 0.80934012]]",2.0,1900,11.0
222,223,"[[1.26093458 1.21177187]
 [0.53471202 1.06776307]
 [1.5177433  1.02635854]
 [0.74149078 0.10590787]]",2.0,1902,12.0
223,224,"[[1.32394251 2.02184292]
 [1.15534688 0.30869079]
 [1.50955443 1.48824395]
 [1.76584277 1.353709  ]]",2.0,1904,11.0
224,225,"[[1.78479619 0.91208679]
 [0.29219889 1.27324306]
 [0.20523169 1.98602514]
 [1.14313692 1.99017669]]",2.0,1904,9.0
225,226,"[[0.21868677 0.09225202]
 [1.95492838 1.55999011]
 [0.48380123 1.20611206]
 [1.57312165 1.96723225]]",2.0,1905,10.0
226,227,"[[1.94570159 1.70866759]
 [1.23504561 1.42329057]
 [0.84155612 0.72988106]
 [0.04327395 0.2274124 ]]",2.0,1905,10.0
227,228,"[[1.33427411 1.27995695]
 [0.64135435 1.01032951]
 [1.18351086 1.7955314 ]
 [1.10888208 1.49549257]]",2.0,2053,149.0
228,229,"[[0.47361207 0.90240412]
 [1.31333247 0.54862254]
 [0.97550094 0.0809924 ]
 [2.01295316 1.69229574]]",2.0,2054,149.0
229,230,"[[0.73856638 0.38327483]
 [0.74054678 1.99026809]
 [0.08829648 0.17718025]
 [0.69207116 0.55777654]]",2.0,2059,159.0
230,231,"[[0.94153309 1.93781822]
 [1.47299648 1.17382508]
 [0.0589618  0.32278666]
 [1.04156206 0.39302402]]",2.0,2062,158.0
231,232,"[[0.28627413 1.99996788]
 [2.0244371  0.90330348]
 [1.65052491 1.69089326]
 [0.31947421 0.37398928]]",2.0,2063,158.0
232,233,"[[1.41623644 0.76871984]
 [1.76071184 0.09066386]
 [1.12095917 0.99123671]
 [1.00840225 0.716131  ]]",2.0,2075,173.0
233,234,"[[1.11140732 0.63297365]
 [0.70090407 1.21219065]
 [1.58544648 1.65743688]
 [0.07552471 1.24226   ]]",2.0,2075,21.0
234,235,"[[1.20793787 1.89049487]
 [1.41011805 0.0915932 ]
 [1.46910738 1.23810562]
 [1.43488389 1.17079725]]",2.0,2076,23.0
235,236,"[[1.95883257 0.84874012]
 [0.32706944 0.22631031]
 [1.81943751 1.6158842 ]
 [1.8602437  0.70396631]]",2.0,2083,24.0
236,237,"[[1.88874877 1.50572587]
 [0.37692376 1.88100278]
 [0.48934625 0.673543  ]
 [1.14016326 1.42754279]]",2.0,2088,26.0
237,238,"[[1.92554594 1.72332891]
 [0.30645369 0.89248079]
 [1.41068983 1.25163317]
 [1.46852961 2.01832871]]",2.0,2090,15.0
238,239,"[[0.16858299 0.46142488]
 [1.82879317 1.57677012]
 [0.08657402 0.53042147]
 [0.47216647 0.60811017]]",2.0,2090,14.0
239,240,"[[1.93098879 1.09833875]
 [1.98576921 0.24660542]
 [0.68465369 0.93175336]
 [1.31124169 0.9374038 ]]",2.0,2090,27.0
240,241,"[[1.29667768 1.94341534]
 [0.41797474 1.84301156]
 [1.55074099 0.11325691]
 [0.49312575 0.48936954]]",2.0,2092,17.0
241,242,"[[0.46988858 0.51112123]
 [2.01857203 1.88953983]
 [0.29370083 1.93862421]
 [0.61838865 0.15993358]]",2.0,2093,10.0
242,243,"[[1.5404255  1.84092355]
 [1.12401397 0.08294308]
 [1.03576513 1.8815485 ]
 [1.21305313 0.21007533]]",2.0,2100,8.0
243,244,"[[0.24453879 1.48449031]
 [0.25303907 1.26978615]
 [0.66487277 0.55096384]
 [0.52704454 1.95686976]]",2.0,2101,11.0
244,245,"[[1.4982854  1.05243374]
 [1.77383633 1.66047403]
 [0.29942967 0.94087049]
 [0.89444038 0.8771126 ]]",2.0,2101,11.0
245,246,"[[0.7253464  0.35396678]
 [1.16555113 1.19008646]
 [1.34353111 0.51980156]
 [0.86126536 1.2823681 ]]",2.0,2102,14.0
246,247,"[[0.39071441 1.41417177]
 [0.39854054 0.11358066]
 [0.38294465 0.60403443]
 [1.81334033 1.99179468]]",2.0,2102,9.0
247,248,"[[0.13664774 0.79863709]
 [1.4076635  0.68727952]
 [1.43255082 0.30675726]
 [0.37822556 1.59447415]]",2.0,2102,12.0
248,249,"[[1.9986225  0.17119455]
 [0.52735904 0.70275956]
 [0.36348356 0.4905646 ]
 [1.62404673 1.42377413]]",2.0,2159,59.0
249,250,"[[1.66710172 0.66386969]
 [0.24664275 1.57986726]
 [1.12819725 0.54877297]
 [1.41936201 1.04955007]]",2.0,2159,57.0
250,251,"[[0.32743874 1.53556248]
 [1.23899354 0.89407962]
 [1.56597966 0.11005223]
 [1.95695189 1.97411048]]",2.0,2163,61.0
251,252,"[[0.07152526 2.01631526]
 [0.74805614 1.74587087]
 [0.35254096 0.78530132]
 [0.60502687 1.41796452]]",2.0,2164,63.0
252,253,"[[2.03627988 0.16887266]
 [1.89310483 0.64893942]
 [1.66711511 0.47181999]
 [1.48990235 0.96144876]]",2.0,2172,71.0
253,254,"[[0.15028214 0.84192354]
 [1.29107358 0.39232731]
 [2.04093836 1.09593535]
 [1.92101939 1.76770136]]",2.0,2179,20.0
254,255,"[[1.77127799 0.66330226]
 [1.76993742 0.91051603]
 [1.10388359 1.84208173]
 [0.85817603 0.38830891]]",2.0,2181,17.0
255,256,"[[1.26509292 0.37704005]
 [0.58785248 0.0967826 ]
 [0.22158322 1.41526119]
 [0.84871081 0.71560165]]",2.0,2191,32.0
256,257,"[[0.61164993 0.3744398 ]
 [0.64664041 1.17182618]
 [1.69949076 0.52009729]
 [0.68877933 1.34094872]]",2.0,2194,92.0
257,258,"[[1.77972115 1.45058033]
 [0.37624336 1.85118787]
 [1.61847599 1.30058943]
 [0.58865714 1.4872405 ]]",2.0,2225,53.0
258,259,"[[1.73602862 1.5686945 ]
 [0.18593589 1.13488526]
 [0.60942439 1.37827262]
 [0.94049821 1.24005325]]",2.0,2231,50.0
259,260,"[[0.52239243 0.18033058]
 [0.64595197 0.07987582]
 [1.89060617 1.36952847]
 [0.91509311 0.87963296]]",2.0,2233,70.0
260,261,"[[1.7418825  1.01190212]
 [1.73269566 0.48667833]
 [0.1470464  0.95609988]
 [1.8283794  0.68196172]]",2.0,2234,43.0
261,262,"[[0.8007432  0.77124987]
 [0.12075483 1.78874939]
 [0.5684721  0.55190599]
 [0.39905048 1.9592133 ]]",2.0,2234,9.0
262,263,"[[0.65578685 0.10389111]
 [1.24276965 1.04028856]
 [0.07647799 0.86293719]
 [1.24645287 0.73057641]]",2.0,2235,41.0
263,264,"[[0.06647049 0.57788158]
 [1.62871906 0.50971176]
 [1.80450138 1.54786616]
 [0.37339361 0.28829776]]",2.0,2242,8.0
264,265,"[[0.19559857 0.99043914]
 [1.31809061 1.36663708]
 [0.75680361 0.86919824]
 [0.48542959 1.9296279 ]]",2.0,2242,8.0
265,266,"[[0.39614495 0.14175379]
 [1.41215386 1.26140322]
 [1.85926872 1.16688699]
 [0.68060231 1.90439327]]",2.0,2244,65.0
266,267,"[[1.72394071 0.22108157]
 [0.12012819 1.61249148]
 [1.43756418 1.85092259]
 [1.71556066 0.23816584]]",2.0,2244,11.0
267,268,"[[1.53061461 1.90068912]
 [0.19111428 1.00279831]
 [0.36592743 0.4794212 ]
 [1.98510367 0.79839974]]",2.0,2246,11.0
268,269,"[[1.49763428 0.65403047]
 [0.86656017 0.28147604]
 [0.66337617 0.3200363 ]
 [1.29728689 1.02197486]]",2.0,2247,16.0
269,270,"[[1.65224472 1.74775604]
 [1.19692727 0.41934584]
 [1.13687539 0.17802005]
 [0.71477935 1.46813411]]",2.0,2257,15.0
270,271,"[[1.16791128 0.48578337]
 [0.45893941 1.1902303 ]
 [1.15872262 1.0924084 ]
 [1.94271578 0.34186319]]",2.0,2257,13.0
271,272,"[[1.75782821 0.13242256]
 [0.47670562 0.07703899]
 [0.37777111 0.99003277]
 [1.18800649 0.57252293]]",2.0,2260,18.0
272,273,"[[1.19953602 0.2496837 ]
 [1.79493466 1.05523785]
 [1.41471056 0.5541719 ]
 [1.78762317 0.65546689]]",2.0,2260,14.0
273,274,"[[0.10291496 1.49685685]
 [1.40736209 2.05173966]
 [0.32331595 1.28137335]
 [0.72341685 1.77945753]]",2.0,2265,21.0
274,275,"[[0.7550881  0.60177078]
 [0.61907918 1.48675405]
 [1.11674095 0.86269784]
 [0.37716436 1.72300747]]",2.0,2265,18.0
275,276,"[[2.01180149 1.46493797]
 [1.8890834  0.44375009]
 [1.52655569 0.74030075]
 [1.4305321  1.3164743 ]]",2.0,2266,9.0
276,277,"[[2.02984692 1.40267425]
 [0.67638076 1.06628029]
 [0.55065976 1.55864045]
 [0.57606785 1.54551622]]",2.0,2268,11.0
277,278,"[[1.33961784 1.5781403 ]
 [0.16533411 1.41069055]
 [1.95920586 1.79881629]
 [1.24380389 0.12982542]]",2.0,2373,113.0
278,279,"[[1.38157611 0.83087498]
 [0.06791196 1.53727102]
 [1.67279629 0.74906182]
 [1.26669915 1.89614994]]",2.0,2381,115.0
279,280,"[[0.89385483 0.75158814]
 [1.48081792 1.82146804]
 [0.76106043 1.38511112]
 [1.98877103 0.40825786]]",2.0,2382,117.0
280,281,"[[0.18049917 1.19868718]
 [1.45455188 0.76668542]
 [1.19292236 2.02972192]
 [0.31957972 0.68562907]]",2.0,2382,9.0
281,282,"[[1.12862336 1.10727181]
 [0.0398956  1.69380534]
 [1.54517274 1.95671598]
 [1.39413048 0.39443088]]",2.0,2382,117.0
282,283,"[[0.40210743 1.9059667 ]
 [2.00123229 0.42208145]
 [0.39735252 1.91835512]
 [0.07778132 0.60790986]]",2.0,2383,115.0
283,284,"[[0.98871621 0.26886931]
 [1.41080991 0.14590677]
 [1.48649749 0.71396355]
 [0.74826993 1.13497831]]",2.0,2386,126.0
284,285,"[[0.14277622 0.55135676]
 [0.43945045 0.8572133 ]
 [0.74926428 0.38138101]
 [1.82870685 0.29394777]]",2.0,2414,33.0
285,286,"[[0.5017337  1.8753079 ]
 [0.82681352 1.7176425 ]
 [0.36560921 0.62633803]
 [0.26382111 0.58934403]]",2.0,2414,28.0
286,287,"[[0.84546749 1.60031246]
 [0.25657744 1.7280681 ]
 [1.46442121 0.2141651 ]
 [1.80869405 0.30183173]]",2.0,2423,9.0
287,288,"[[0.85349175 0.81354997]
 [0.56831689 1.80137   ]
 [2.00245822 1.40460829]
 [1.81892555 1.95210182]]",2.0,2423,41.0
288,289,"[[0.71336249 0.04774697]
 [0.8709221  0.57570387]
 [0.75792847 1.7008438 ]
 [1.1673583  0.12569449]]",2.0,2423,9.0
289,290,"[[0.63770004 1.79576325]
 [2.01208141 1.77732598]
 [2.04125207 1.70636497]
 [0.37261889 0.48990989]]",2.0,2427,45.0
290,291,"[[0.79673992 1.38806375]
 [1.07264766 1.45923756]
 [0.77611863 0.66497475]
 [0.18122721 1.42847949]]",2.0,2431,49.0
291,292,"[[1.32872179 0.75420892]
 [0.20506397 1.12954029]
 [0.1705234  0.92715444]
 [2.00502806 0.17557821]]",2.0,2431,48.0
292,293,"[[0.1566485  0.81567988]
 [0.13352541 0.09309692]
 [1.79731937 0.61150173]
 [0.12444317 0.75218391]]",2.0,2436,13.0
293,294,"[[0.92500621 1.10339456]
 [0.81986035 0.35076718]
 [1.98110849 1.75123073]
 [0.31291941 1.33980949]]",2.0,2447,16.0
294,295,"[[1.4010248  0.80463985]
 [0.15221345 1.26387651]
 [0.32233947 0.84299994]
 [1.82934744 1.33912446]]",2.0,2447,20.0
295,296,"[[0.67601227 1.15256177]
 [2.01249253 0.73524172]
 [1.89348572 1.97796123]
 [1.96854129 1.59033472]]",2.0,2451,20.0
296,297,"[[0.94369634 1.47587283]
 [0.6521183  1.33740918]
 [0.69824465 0.90792866]
 [0.11830119 0.27434561]]",2.0,2452,29.0
297,298,"[[0.734873   0.7770782 ]
 [1.03585577 0.83754643]
 [0.27038706 0.78937628]
 [1.34448041 1.04861632]]",2.0,2456,9.0
298,299,"[[1.05756119 1.75705673]
 [0.47069128 1.38293681]
 [0.51225606 0.88558606]
 [0.53148026 0.21982872]]",2.0,2458,11.0
299,300,"[[1.96783485 0.16091618]
 [0.71891096 1.01961303]
 [1.76749864 0.31625452]
 [1.46458676 0.64934695]]",2.0,2459,23.0
300,301,"[[1.04888011 1.06767742]
 [1.13520383 0.78261081]
 [0.92360774 0.15407675]
 [1.01896825 1.77229957]]",2.0,2461,9.0
301,302,"[[2.04212392 1.34375263]
 [1.62840312 0.88407306]
 [1.9455916  2.02037486]
 [0.73777794 1.26595359]]",2.0,2461,38.0
302,303,"[[1.02232915 0.60029033]
 [1.74932453 0.84713615]
 [1.01763978 1.69230696]
 [0.26899101 0.91896239]]",2.0,2461,10.0
303,304,"[[0.72916008 1.72398063]
 [0.90776589 0.38725607]
 [1.6150297  0.28970322]
 [0.36257952 0.92709651]]",2.0,2492,34.0
304,305,"[[1.90869337 0.25262314]
 [0.28475091 0.64642364]
 [1.3015626  1.26585913]
 [1.29171033 1.55336621]]",2.0,2493,37.0
305,306,"[[0.37509335 1.25850065]
 [1.52775206 1.34852728]
 [1.18313387 2.00744191]
 [1.29722704 0.32747025]]",2.0,2502,43.0
306,307,"[[1.77676041 0.63948979]
 [1.87777006 0.76164365]
 [0.489495   0.44062011]
 [0.78095091 1.60297078]]",2.0,2504,43.0
307,308,"[[1.9495663  1.54592703]
 [0.03558    0.262132  ]
 [0.63190762 0.69039607]
 [1.39112109 1.4466549 ]]",2.0,2505,44.0
308,309,"[[1.86314899 1.0768762 ]
 [1.09295922 0.08855499]
 [0.76833025 1.54805716]
 [1.77286866 0.24572412]]",2.0,2508,16.0
309,310,"[[0.8266771  0.78455165]
 [1.73891008 0.66730329]
 [1.89059144 1.28511073]
 [0.20765127 0.50321997]]",2.0,2513,9.0
310,311,"[[0.74756072 1.06031432]
 [0.78289579 0.41406472]
 [0.20143516 1.84516311]
 [0.72079492 0.20634646]]",2.0,2514,12.0
311,312,"[[1.14676927 0.75577834]
 [0.66185841 1.5462063 ]
 [0.31552508 0.76380737]
 [1.22951101 1.80151063]]",2.0,2515,10.0
312,313,"[[1.8350419  1.55522382]
 [1.99028682 0.8830347 ]
 [1.86869316 0.11104991]
 [0.4980868  1.74110719]]",2.0,2516,55.0
313,314,"[[0.89853082 1.58278867]
 [1.58090161 1.96492825]
 [1.09371902 1.79488557]
 [0.85789979 1.82047612]]",2.0,2517,24.0
314,315,"[[0.20758786 1.53384085]
 [0.5694129  0.70274971]
 [0.41587492 0.70125561]
 [0.03473149 0.9461606 ]]",2.0,2520,12.0
315,316,"[[0.31586619 1.22736968]
 [1.66024456 1.6946453 ]
 [1.26960188 1.19815908]
 [0.6150083  1.45202883]]",2.0,2566,53.0
316,317,"[[0.87196036 0.25686907]
 [1.12683402 0.67957471]
 [0.27247098 1.47844906]
 [0.15367242 0.12023578]]",2.0,2607,92.0
317,318,"[[0.64397666 1.15751492]
 [0.22558006 1.03902887]
 [1.18916495 0.1936659 ]
 [0.66500549 0.8509526 ]]",2.0,2608,92.0
318,319,"[[0.73692013 1.24590705]
 [0.5741653  1.83566519]
 [1.95913505 1.4085844 ]
 [0.2491093  0.76871529]]",2.0,2609,92.0
319,320,"[[1.9414268  0.7384979 ]
 [0.94690272 1.46533136]
 [0.16980496 1.0204093 ]
 [0.43018516 1.56139008]]",2.0,2613,99.0
320,321,"[[1.31299074 1.02111368]
 [0.8716839  1.40214814]
 [1.17449279 1.35497767]
 [1.304062   1.10649568]]",2.0,2616,96.0
321,322,"[[0.16156193 0.40094513]
 [1.16615607 1.18138937]
 [0.13712123 0.50282747]
 [1.90263234 0.62323556]]",2.0,2619,53.0
322,323,"[[0.06719972 1.57409421]
 [0.40755815 1.24921412]
 [0.60911926 1.22100232]
 [1.14513944 0.08893123]]",2.0,2619,12.0
323,324,"[[1.95917003 1.39784797]
 [0.98379988 1.48819256]
 [0.10993098 0.69507747]
 [0.12812222 1.48064595]]",2.0,2621,12.0
324,325,"[[1.4895775  0.92694439]
 [0.69412656 1.90955563]
 [0.11992328 1.05054295]
 [0.61643378 1.67817163]]",2.0,2621,13.0
325,326,"[[1.39312581 0.52373121]
 [1.31133178 0.09653103]
 [1.46831511 1.98386459]
 [1.30244796 2.02665745]]",2.0,2624,11.0
326,327,"[[1.13144842 0.66670341]
 [0.83811109 1.19752994]
 [1.95849393 0.76028033]
 [0.26781976 1.61720984]]",2.0,2644,28.0
327,328,"[[1.30619312 1.50716827]
 [0.75135967 0.78468888]
 [1.13871876 0.67280479]
 [1.56629774 1.16770541]]",2.0,2731,110.0
328,329,"[[2.03842415 1.52489592]
 [0.54121328 1.82903051]
 [1.07372873 1.51514496]
 [1.42976514 1.13431572]]",2.0,2740,9.0
329,330,"[[1.40975372 0.53094738]
 [0.70669517 0.32023262]
 [0.49696221 1.6787486 ]
 [0.9755535  0.08245649]]",2.0,2742,121.0
330,331,"[[0.9799376  1.36843742]
 [1.94719284 0.57731636]
 [1.70690802 0.69196844]
 [0.88778812 1.82384828]]",2.0,2743,99.0
331,332,"[[1.47917124 0.10286674]
 [1.39318694 0.69405842]
 [0.61144004 1.39262947]
 [0.12437501 1.96821723]]",2.0,2743,124.0
332,333,"[[1.99428336 1.0259714 ]
 [1.08261561 0.35948661]
 [0.06668152 1.50643674]
 [0.76858071 1.65398718]]",2.0,2744,120.0
333,334,"[[1.59525303 1.11702781]
 [0.78634798 1.33931471]
 [0.09597871 1.06273245]
 [1.46711562 1.81269555]]",2.0,2746,127.0
334,335,"[[2.0073309  0.73869913]
 [1.947874   0.07503236]
 [1.49128115 1.22290133]
 [0.11763954 0.91750632]]",2.0,2758,18.0
335,336,"[[0.628375   0.86074326]
 [1.18853629 1.95170672]
 [0.75575567 1.25925808]
 [0.74964598 0.49643584]]",2.0,2759,15.0
336,337,"[[1.1371317  1.58026808]
 [0.9448962  2.0086037 ]
 [0.07655389 0.18882417]
 [1.21438429 0.31043334]]",2.0,2765,22.0
337,338,"[[1.26333486 0.81871283]
 [0.87042088 0.28644981]
 [0.39319561 0.33484684]
 [0.8351694  1.06158942]]",2.0,2768,10.0
338,339,"[[1.58980518 2.01413273]
 [0.62017311 1.71790552]
 [0.25871615 1.61553225]
 [0.51434869 1.22601976]]",2.0,2770,11.0
339,340,"[[0.89161247 1.48124866]
 [1.13799104 1.84940286]
 [1.99123075 1.84997454]
 [0.70926633 0.53686293]]",2.0,2771,29.0
340,341,"[[0.2778112  0.26248341]
 [0.81908213 1.73728348]
 [1.14871417 1.95297278]
 [0.34874562 0.43407127]]",2.0,2774,28.0
341,342,"[[1.60272151 0.30479411]
 [0.68121901 0.60667801]
 [1.27069514 0.42761293]
 [1.29563809 0.53271454]]",2.0,2776,33.0
342,343,"[[0.86478479 0.48664886]
 [0.35835009 0.76144153]
 [1.24709683 0.39499806]
 [1.99030437 1.46769399]]",2.0,2778,13.0
343,344,"[[0.58914057 0.05163863]
 [1.43396703 0.61024621]
 [0.13754243 0.3756885 ]
 [1.62823106 1.06158193]]",2.0,2779,8.0
344,345,"[[0.79987135 0.15179626]
 [1.4571049  1.13992121]
 [1.39545283 1.19684321]
 [0.26919053 0.60164863]]",2.0,2780,10.0
345,346,"[[0.53047361 0.08869619]
 [0.68408154 0.35393128]
 [1.62365692 0.34033814]
 [0.81982824 1.16148272]]",2.0,2780,12.0
346,347,"[[1.35970565 0.10977672]
 [1.98535216 1.01034185]
 [0.61423139 1.30119638]
 [1.57074305 1.66359619]]",2.0,2791,17.0
347,348,"[[1.37961281 0.43483512]
 [1.20131802 0.05663113]
 [1.93261832 0.69408258]
 [0.77902718 1.92763646]]",2.0,2805,29.0
348,349,"[[0.57206601 0.91733698]
 [0.69411688 0.98266293]
 [0.91313361 0.94813976]
 [1.52768104 1.61220037]]",2.0,2811,33.0
