number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
42,"[[1.29537587 0.26223195]
 [0.11955811 1.24618361]
 [0.68946105 0.49572084]
 [1.40608564 0.31136212]]",2.0,411,9.0
43,"[[1.42153242 0.70919061]
 [1.48254513 0.87571404]
 [1.25362941 0.00514604]
 [0.51621839 0.30512893]]",2.0,412,12.0
44,"[[0.22887372 0.34192457]
 [0.22754421 0.36856515]
 [0.6999344  0.60391884]
 [0.72781138 0.76578493]]",2.0,412,12.0
45,"[[1.40317476 1.91794359]
 [1.37146072 1.65166733]
 [1.86654631 0.61063125]
 [1.03996818 1.21910968]]",2.0,412,10.0
46,"[[1.39459594 0.0397245 ]
 [0.32989635 1.95111464]
 [0.60874824 0.76286186]
 [0.38972102 1.53182044]]",2.0,413,12.0
47,"[[0.73481138 1.47418731]
 [1.54532961 1.35416893]
 [1.54509888 1.10009598]
 [0.14224641 1.07411181]]",2.0,414,17.0
48,"[[1.73641623 0.81750319]
 [1.14466607 0.18228331]
 [1.78341773 0.70562116]
 [0.10710542 0.95997842]]",2.0,423,30.0
49,"[[0.01528024 0.34422384]
 [0.56971855 1.82530821]
 [1.03471858 0.92366396]
 [0.88228556 1.56419604]]",2.0,450,39.0
50,"[[0.71330125 1.44062032]
 [0.66014546 0.34803845]
 [0.06312532 0.80856885]
 [0.3224119  0.15324425]]",2.0,451,39.0
51,"[[1.84976979 0.66360393]
 [1.03350544 1.72957109]
 [1.41988835 1.1407327 ]
 [0.89353574 1.52654713]]",2.0,457,45.0
52,"[[1.25079539 0.61115756]
 [1.01552634 0.82107101]
 [1.44529968 0.75005047]
 [0.81921942 0.37887425]]",2.0,458,46.0
53,"[[1.97404636 0.7379469 ]
 [1.48010205 0.45791181]
 [0.86444978 1.11478197]
 [0.50290723 1.91549781]]",2.0,462,51.0
54,"[[1.5140118  1.95288117]
 [0.53580689 1.74724391]
 [1.69680722 1.76760995]
 [2.0021899  1.35768293]]",2.0,462,48.0
55,"[[0.12594551 1.95086928]
 [0.8559615  0.65165288]
 [0.13365605 1.88533987]
 [0.31791953 1.1542227 ]]",2.0,463,12.0
56,"[[1.99618708 1.04519541]
 [0.54870517 1.54180793]
 [0.72561226 0.35059084]
 [0.85576714 0.82527896]]",2.0,464,53.0
57,"[[1.3315009  0.19510016]
 [0.26261673 1.04976449]
 [1.47622927 0.9560953 ]
 [0.93440478 0.5852243 ]]",2.0,466,9.0
58,"[[0.05217199 1.72646708]
 [0.95978255 1.5329758 ]
 [1.39556533 0.53954498]
 [0.4609388  1.29639747]]",2.0,466,43.0
59,"[[0.43690489 0.8267391 ]
 [0.03821259 1.76176088]
 [1.88927619 0.28182501]
 [0.81972068 0.56934834]]",2.0,466,53.0
60,"[[1.3291026  1.42821831]
 [0.46006783 1.8995199 ]
 [1.22468828 1.2484544 ]
 [0.56737198 0.11075068]]",2.0,468,18.0
61,"[[0.25235982 0.9195596 ]
 [0.97542224 0.98452987]
 [1.20423877 1.98213224]
 [1.08550388 0.53954933]]",2.0,468,10.0
62,"[[1.29632784 1.94412706]
 [0.43938511 0.58427037]
 [0.16390165 0.41927568]
 [1.26130684 1.16162709]]",2.0,469,58.0
63,"[[1.2215344  0.13704234]
 [1.49935652 1.8965328 ]
 [0.40808024 0.71186113]
 [0.5976338  1.52251929]]",2.0,472,9.0
64,"[[0.10618718 1.05055701]
 [0.05339723 0.81787631]
 [0.41463124 1.21759193]
 [1.79444863 0.48294647]]",2.0,473,11.0
65,"[[0.53408499 1.11827556]
 [1.79932748 0.01252362]
 [1.34984444 0.48512668]
 [1.32747537 1.9503294 ]]",2.0,473,9.0
66,"[[0.39568394 0.43306799]
 [1.6536492  1.18288542]
 [1.80206406 0.47284451]
 [0.69820373 0.51927093]]",2.0,474,12.0
