number_of_episodes,weight_history,noise_history,number_of_steps,perf_tracker
183,"[[0.9404327  1.49758759]
 [1.44033555 1.75351802]
 [2.07042084 2.81047471]
 [1.69872452 1.98566306]]",0.0001,4541,500.0
184,"[[0.94052581 1.49761896]
 [1.44037577 1.75358232]
 [2.07046057 2.81053719]
 [1.69874598 1.98570877]]",0.0001,4541,500.0
185,"[[0.94053507 1.49768791]
 [1.44039547 1.75365216]
 [2.07049417 2.81055103]
 [1.69881242 1.98578861]]",0.0001,4541,500.0
186,"[[0.94060172 1.49777032]
 [1.44047923 1.7536731 ]
 [2.07051327 2.81064299]
 [1.6988905  1.98580556]]",0.0001,4542,500.0
187,"[[0.94060534 1.49782463]
 [1.44048913 1.75375594]
 [2.07054493 2.81071119]
 [1.69893343 1.98584159]]",0.0001,4543,500.0
188,"[[0.94063506 1.49789242]
 [1.44053802 1.75383859]
 [2.0706334  2.81075796]
 [1.69900708 1.98584393]]",0.0001,4543,500.0
189,"[[0.94069551 1.49792352]
 [1.44058911 1.75391055]
 [2.07067692 2.81079782]
 [1.6990179  1.98587595]]",0.0001,5036,500.0
190,"[[0.94079304 1.49799002]
 [1.44065091 1.75391081]
 [2.07070062 2.81088611]
 [1.6990854  1.98589305]]",0.0001,5038,500.0
191,"[[0.94079943 1.49799198]
 [1.44073841 1.75391815]
 [2.07073934 2.81092272]
 [1.69916221 1.98596811]]",0.0001,5040,500.0
192,"[[0.94082877 1.49803384]
 [1.44075517 1.75399466]
 [2.07075372 2.81093866]
 [1.69921804 1.98598621]]",0.0001,5040,500.0
193,"[[0.94085922 1.49803609]
 [1.44081181 1.75403158]
 [2.0707621  2.81098628]
 [1.69931262 1.98605057]]",0.0001,5041,500.0
194,"[[0.94093844 1.49803865]
 [1.44083691 1.75405936]
 [2.07083488 2.81105158]
 [1.69939155 1.98612016]]",0.0001,5041,500.0
195,"[[0.94099465 1.49805655]
 [1.4409091  1.75407436]
 [2.07090322 2.81108698]
 [1.6994036  1.98617471]]",0.0001,5041,500.0
196,"[[0.94102589 1.49807819]
 [1.44092244 1.75409643]
 [2.07093639 2.81115373]
 [1.69940587 1.98620249]]",0.0001,5042,500.0
197,"[[0.9410797  1.49811315]
 [1.44092388 1.75410305]
 [2.07097408 2.81118066]
 [1.69943218 1.98627472]]",0.0001,5043,500.0
198,"[[0.94112523 1.49821286]
 [1.44093923 1.75412005]
 [2.07106344 2.8112679 ]
 [1.69949411 1.98633142]]",0.0001,5043,500.0
199,"[[0.94119658 1.49822212]
 [1.441003   1.75415404]
 [2.07108195 2.81134728]
 [1.6995775  1.9864143 ]]",0.0001,5536,500.0
200,"[[0.94123611 1.49825601]
 [1.44107875 1.75422107]
 [2.07111389 2.81136465]
 [1.69966551 1.98650889]]",0.0001,5538,500.0
201,"[[0.94132509 1.49829505]
 [1.44117519 1.75427121]
 [2.07114825 2.81143465]
 [1.6997638  1.98656127]]",0.0001,5540,500.0
202,"[[0.94139692 1.49838483]
 [1.44121993 1.75429671]
 [2.07124462 2.81150402]
 [1.69980593 1.98662798]]",0.0001,5540,500.0
203,"[[0.94147872 1.498471  ]
 [1.44122878 1.75432155]
 [2.07131237 2.81158843]
 [1.69981181 1.98666855]]",0.0001,5541,500.0
204,"[[0.94150279 1.49848958]
 [1.44130469 1.75441571]
 [2.07138586 2.81166981]
 [1.69985405 1.98674566]]",0.0001,5541,500.0
205,"[[0.94153898 1.49851715]
 [1.4413075  1.75449091]
 [2.07146044 2.81170313]
 [1.6999045  1.98674774]]",0.0001,5541,500.0
206,"[[0.9415953  1.49856285]
 [1.44131553 1.75453253]
 [2.07149819 2.81177328]
 [1.69996879 1.98676438]]",0.0001,5542,500.0
207,"[[0.94162723 1.49861581]
 [1.4413664  1.75460036]
 [2.07153395 2.81186015]
 [1.70004237 1.98680033]]",0.0001,5543,500.0
208,"[[0.94167829 1.49869734]
 [1.44142574 1.75467237]
 [2.0716268  2.81186734]
 [1.70006665 1.98685123]]",0.0001,5543,500.0
209,"[[0.94172026 1.49873071]
 [1.44146106 1.75477192]
 [2.07169421 2.81188807]
 [1.70007584 1.98686163]]",0.0001,6036,500.0
210,"[[0.94175666 1.4988111 ]
 [1.44150709 1.7548092 ]
 [2.07176687 2.81190487]
 [1.70017547 1.98691743]]",0.0001,6038,500.0
211,"[[0.94176149 1.4988376 ]
 [1.44153192 1.75488922]
 [2.07185203 2.81194676]
 [1.70024177 1.98694302]]",0.0001,6040,500.0
212,"[[0.94178308 1.49888388]
 [1.44162427 1.75492112]
 [2.07193027 2.81197181]
 [1.70031446 1.98696542]]",0.0001,6040,500.0
213,"[[0.94178565 1.49893089]
 [1.44167918 1.75496929]
 [2.07195679 2.81200316]
 [1.70036347 1.98696783]]",0.0001,6041,500.0
214,"[[0.94187398 1.49900733]
 [1.44168817 1.75498261]
 [2.07198675 2.81209763]
 [1.70037547 1.98698846]]",0.0001,6041,500.0
215,"[[0.94188234 1.49910274]
 [1.44174067 1.75507898]
 [2.07198706 2.81210079]
 [1.70046661 1.98702173]]",0.0001,6041,500.0
216,"[[0.94195628 1.49911795]
 [1.44184062 1.75515736]
 [2.07199535 2.81216877]
 [1.70055739 1.98704359]]",0.0001,6042,500.0
217,"[[0.94199758 1.49916777]
 [1.44186034 1.75518043]
 [2.07204215 2.81216954]
 [1.70057359 1.98710619]]",0.0001,6043,500.0
218,"[[0.94200256 1.49919149]
 [1.44192096 1.75525842]
 [2.07210311 2.81221273]
 [1.70063043 1.98720607]]",0.0001,6043,500.0
219,"[[0.94206044 1.49923326]
 [1.44198665 1.75528638]
 [2.07217695 2.81222761]
 [1.70071538 1.98722741]]",0.0001,6536,500.0
220,"[[0.94208063 1.49925083]
 [1.44200041 1.75537703]
 [2.07218214 2.81225621]
 [1.70076136 1.987228  ]]",0.0001,6538,500.0
221,"[[0.94209075 1.49929331]
 [1.44208958 1.75540412]
 [2.07227047 2.81227182]
 [1.70083247 1.98731417]]",0.0001,6540,500.0
222,"[[0.94216721 1.49937471]
 [1.44217377 1.75545846]
 [2.07234449 2.81227981]
 [1.70083505 1.98735899]]",0.0001,6540,500.0
223,"[[0.94217463 1.49941383]
 [1.44222856 1.75547243]
 [2.07237113 2.81232287]
 [1.7009012  1.98739554]]",0.0001,6541,500.0
224,"[[0.94220737 1.49943494]
 [1.44227333 1.75552307]
 [2.07242762 2.81232626]
 [1.70093209 1.98748233]]",0.0001,6541,500.0
225,"[[0.94230334 1.49946303]
 [1.44229861 1.75554054]
 [2.07244806 2.81240884]
 [1.70098586 1.98748377]]",0.0001,6541,500.0
226,"[[0.94238617 1.49950798]
 [1.44238883 1.75559049]
 [2.0724972  2.81246876]
 [1.70107228 1.98753466]]",0.0001,6542,500.0
227,"[[0.94243916 1.49957163]
 [1.44246046 1.75559325]
 [2.07252931 2.81251098]
 [1.70114744 1.98759667]]",0.0001,6543,500.0
228,"[[0.94249763 1.49962738]
 [1.442489   1.75559625]
 [2.07261182 2.81257517]
 [1.7011705  1.98769466]]",0.0001,6543,500.0
229,"[[0.94253321 1.49969189]
 [1.44252959 1.75564486]
 [2.07265454 2.81263324]
 [1.701216   1.98776648]]",0.0001,7036,500.0
230,"[[0.94253913 1.4997357 ]
 [1.4425584  1.75571595]
 [2.07272398 2.81268567]
 [1.70122649 1.98784244]]",0.0001,7038,500.0
231,"[[0.9426334  1.49977553]
 [1.44264714 1.75573527]
 [2.07281981 2.8127552 ]
 [1.70128412 1.98791177]]",0.0001,7040,500.0
232,"[[0.9427186  1.49985658]
 [1.44269424 1.75582648]
 [2.07286805 2.8127675 ]
 [1.70131808 1.98796156]]",0.0001,7040,500.0
233,"[[0.94273289 1.49987119]
 [1.44271563 1.75592069]
 [2.07295769 2.81281513]
 [1.70136236 1.988061  ]]",0.0001,7041,500.0
234,"[[0.94282511 1.49994206]
 [1.44281489 1.75595716]
 [2.07299486 2.81284842]
 [1.70137596 1.98806488]]",0.0001,7041,500.0
235,"[[0.94287721 1.49994457]
 [1.44290027 1.75605397]
 [2.07307032 2.81287033]
 [1.70145701 1.98814414]]",0.0001,7041,500.0
236,"[[0.94296793 1.49996457]
 [1.44292274 1.75615191]
 [2.07309894 2.81290056]
 [1.7015246  1.98816615]]",0.0001,7042,500.0
237,"[[0.94302795 1.49996782]
 [1.44293267 1.75619662]
 [2.07311698 2.81292605]
 [1.70162378 1.9882467 ]]",0.0001,7043,500.0
238,"[[0.94307914 1.50006028]
 [1.44295933 1.75626349]
 [2.07316101 2.8130114 ]
 [1.70171688 1.98824948]]",0.0001,7043,500.0
239,"[[0.94315568 1.50011329]
 [1.44297349 1.75627135]
 [2.07318292 2.81307765]
 [1.70176502 1.98831691]]",0.0001,7536,500.0
240,"[[0.94319572 1.50017618]
 [1.44304677 1.75628151]
 [2.07323495 2.81308548]
 [1.70180711 1.98841105]]",0.0001,7538,500.0
241,"[[0.94326045 1.50025186]
 [1.44312549 1.75638069]
 [2.07325672 2.81311197]
 [1.70183987 1.98845133]]",0.0001,7540,500.0
242,"[[0.94329187 1.50032516]
 [1.44317263 1.75646447]
 [2.07333487 2.81317229]
 [1.70187351 1.98854715]]",0.0001,7540,500.0
243,"[[0.94331309 1.50033496]
 [1.44323091 1.75654035]
 [2.0733961  2.81322811]
 [1.701951   1.98863019]]",0.0001,7541,500.0
244,"[[0.94340897 1.50039493]
 [1.44333001 1.75654528]
 [2.07346856 2.8132824 ]
 [1.70195856 1.98863589]]",0.0001,7541,500.0
245,"[[0.94350551 1.5003999 ]
 [1.44335719 1.75660508]
 [2.07354372 2.81329102]
 [1.70203666 1.98863889]]",0.0001,7541,500.0
246,"[[0.94359815 1.50045365]
 [1.44338926 1.75668222]
 [2.07355685 2.81329564]
 [1.70213085 1.98869183]]",0.0001,7542,500.0
247,"[[0.9436942  1.50051832]
 [1.44342893 1.75673453]
 [2.07364324 2.81338817]
 [1.7021716  1.98876954]]",0.0001,7543,500.0
248,"[[0.94379297 1.50057818]
 [1.44350406 1.75676309]
 [2.07365333 2.81346861]
 [1.70224137 1.98882451]]",0.0001,7543,500.0
249,"[[0.94379511 1.50062987]
 [1.4435523  1.75682907]
 [2.0737392  2.81348882]
 [1.70227079 1.98884835]]",0.0001,8036,500.0
250,"[[0.94388544 1.5006302 ]
 [1.44355716 1.75686919]
 [2.07379127 2.81356584]
 [1.70227255 1.98891972]]",0.0001,8038,500.0
251,"[[0.94395759 1.50066416]
 [1.44357305 1.75695774]
 [2.07385848 2.81359886]
 [1.70227428 1.9889349 ]]",0.0001,8040,500.0
252,"[[0.94401952 1.50070118]
 [1.44360264 1.75698766]
 [2.07394584 2.8136778 ]
 [1.7023542  1.98894789]]",0.0001,8040,500.0
253,"[[0.94409119 1.50075376]
 [1.44360621 1.75707728]
 [2.07403915 2.81372544]
 [1.70242113 1.98897957]]",0.0001,8041,500.0
254,"[[0.94416911 1.50076891]
 [1.44366284 1.75708862]
 [2.0740833  2.81372727]
 [1.70249688 1.98898252]]",0.0001,8041,500.0
255,"[[0.94425809 1.50079716]
 [1.44366685 1.75710613]
 [2.07414324 2.81375953]
 [1.70253458 1.98900169]]",0.0001,8041,500.0
256,"[[0.94429276 1.5008726 ]
 [1.44369542 1.75719613]
 [2.07415617 2.81382247]
 [1.7026272  1.98905198]]",0.0001,8042,500.0
257,"[[0.94434084 1.50091531]
 [1.44371983 1.75721472]
 [2.07420476 2.81384455]
 [1.70268016 1.98907088]]",0.0001,8043,500.0
258,"[[0.94442794 1.50096418]
 [1.44378381 1.75729493]
 [2.07423267 2.81390415]
 [1.70277277 1.98913635]]",0.0001,8043,500.0
259,"[[0.94450514 1.50098804]
 [1.44387958 1.75731495]
 [2.07430468 2.81395312]
 [1.70281773 1.98914062]]",0.0001,8536,500.0
260,"[[0.94453005 1.50106113]
 [1.4439461  1.75733326]
 [2.07437325 2.8140135 ]
 [1.70282376 1.98914077]]",0.0001,8538,500.0
261,"[[0.94456046 1.50110721]
 [1.44397257 1.75742954]
 [2.07440262 2.81409946]
 [1.70283739 1.98919696]]",0.0001,8540,500.0
262,"[[0.94465062 1.50115647]
 [1.44401355 1.7575136 ]
 [2.07446932 2.81413377]
 [1.70292527 1.98929143]]",0.0001,8540,500.0
263,"[[0.94468045 1.50122379]
 [1.44406463 1.75751957]
 [2.07448293 2.81414359]
 [1.70292667 1.98932473]]",0.0001,8541,500.0
264,"[[0.9447395  1.50131685]
 [1.44412139 1.75755039]
 [2.0745633  2.81415651]
 [1.70296587 1.98934897]]",0.0001,8541,500.0
265,"[[0.94481054 1.50131863]
 [1.44413059 1.75764462]
 [2.07462283 2.8141666 ]
 [1.70305385 1.98937304]]",0.0001,8541,500.0
266,"[[0.94483606 1.50132824]
 [1.4441486  1.75769396]
 [2.07463947 2.81418039]
 [1.70307164 1.98943231]]",0.0001,8542,500.0
267,"[[0.94483618 1.5013525 ]
 [1.44423246 1.75771276]
 [2.07470935 2.81418441]
 [1.70317057 1.98951861]]",0.0001,8543,500.0
268,"[[0.94488133 1.50141283]
 [1.44430935 1.7577919 ]
 [2.07473147 2.81425663]
 [1.70318243 1.98956764]]",0.0001,8543,500.0
269,"[[0.94495372 1.50150022]
 [1.44439751 1.75783998]
 [2.07475122 2.81430382]
 [1.7032083  1.98958038]]",0.0001,9036,500.0
270,"[[0.94502144 1.50159766]
 [1.44449267 1.75791064]
 [2.0747869  2.81439716]
 [1.70326782 1.98961667]]",0.0001,9038,500.0
271,"[[0.94503643 1.5016876 ]
 [1.44455456 1.75799901]
 [2.07484973 2.81442837]
 [1.70334634 1.98968985]]",0.0001,9040,500.0
272,"[[0.9450405  1.50175354]
 [1.44459174 1.75808076]
 [2.074917   2.81451971]
 [1.70338704 1.98974732]]",0.0001,9040,500.0
273,"[[0.94507877 1.5017723 ]
 [1.44460551 1.75812542]
 [2.07500559 2.8146156 ]
 [1.70347995 1.98981407]]",0.0001,9041,500.0
274,"[[0.94516251 1.50180882]
 [1.44469928 1.7581977 ]
 [2.07508005 2.81471194]
 [1.7035756  1.98985287]]",0.0001,9041,500.0
275,"[[0.94523386 1.50182299]
 [1.44474969 1.75819891]
 [2.075164   2.81471697]
 [1.70358773 1.9899341 ]]",0.0001,9041,500.0
276,"[[0.945302   1.50183587]
 [1.44477289 1.75822988]
 [2.0752334  2.81471705]
 [1.70366717 1.98993895]]",0.0001,9042,500.0
277,"[[0.94535331 1.50184272]
 [1.44485896 1.75829366]
 [2.07532263 2.81476324]
 [1.70372706 1.98994649]]",0.0001,9043,500.0
278,"[[0.94538842 1.50186644]
 [1.44488272 1.75831417]
 [2.07540599 2.81484128]
 [1.70378585 1.9900139 ]]",0.0001,9043,500.0
279,"[[0.9454071  1.50191713]
 [1.44489789 1.75833677]
 [2.07544853 2.81492637]
 [1.70380208 1.99007554]]",0.0001,9536,500.0
280,"[[0.94549117 1.50196213]
 [1.4449087  1.7584227 ]
 [2.07548435 2.81494905]
 [1.70380919 1.99012681]]",0.0001,9538,500.0
281,"[[0.94551522 1.50204122]
 [1.44496179 1.75843662]
 [2.07549316 2.81495516]
 [1.70381649 1.99014592]]",0.0001,9540,500.0
282,"[[0.94554376 1.5020709 ]
 [1.44496509 1.75851432]
 [2.07557318 2.81499783]
 [1.70384092 1.99022072]]",0.0001,9540,500.0
283,"[[0.9456372  1.50211815]
 [1.44496908 1.75858486]
 [2.07560143 2.81506799]
 [1.70390141 1.99023523]]",0.0001,9541,500.0
284,"[[0.9456467  1.50214913]
 [1.44498079 1.75868324]
 [2.07568892 2.81514785]
 [1.70392013 1.99025039]]",0.0001,9541,500.0
285,"[[0.94572644 1.50220917]
 [1.44505089 1.75870514]
 [2.07578715 2.81521953]
 [1.70400387 1.99030042]]",0.0001,9541,500.0
286,"[[0.94573396 1.5022366 ]
 [1.44512422 1.75875423]
 [2.07579517 2.8152599 ]
 [1.7040328  1.9903017 ]]",0.0001,9542,500.0
287,"[[0.94579041 1.50226657]
 [1.44512768 1.75882064]
 [2.07587351 2.81532314]
 [1.70405776 1.99033703]]",0.0001,9543,500.0
288,"[[0.94579087 1.50230642]
 [1.44515583 1.75886786]
 [2.07595905 2.81535484]
 [1.70407995 1.99040999]]",0.0001,9543,500.0
289,"[[0.94581642 1.50232553]
 [1.44518138 1.75889942]
 [2.07598656 2.81538736]
 [1.70408013 1.99049433]]",0.0001,10036,500.0
290,"[[0.94583475 1.50238387]
 [1.44526746 1.75893886]
 [2.076047   2.81548146]
 [1.70409537 1.99057145]]",0.0001,10038,500.0
291,"[[0.94589719 1.50246149]
 [1.44530102 1.75894551]
 [2.07609331 2.81552627]
 [1.70415839 1.99063297]]",0.0001,10040,500.0
292,"[[0.94594902 1.50250009]
 [1.44530734 1.75894801]
 [2.07613978 2.81562513]
 [1.70416428 1.99065296]]",0.0001,10040,500.0
293,"[[0.94601531 1.50254312]
 [1.44534017 1.75898233]
 [2.07618377 2.81571902]
 [1.70422065 1.99074145]]",0.0001,10041,500.0
294,"[[0.94602709 1.50254887]
 [1.44538826 1.75899078]
 [2.07626623 2.815776  ]
 [1.70430632 1.99078508]]",0.0001,10041,500.0
295,"[[0.94604252 1.50258677]
 [1.44542945 1.7590203 ]
 [2.07632055 2.81579655]
 [1.70438007 1.99083483]]",0.0001,10041,500.0
296,"[[0.94609917 1.502652  ]
 [1.44545532 1.75905174]
 [2.07639248 2.81589214]
 [1.7044134  1.9908973 ]]",0.0001,10042,500.0
297,"[[0.94614575 1.50275039]
 [1.44548989 1.75908114]
 [2.07647646 2.81590803]
 [1.70444024 1.99096183]]",0.0001,10043,500.0
298,"[[0.94617607 1.50276345]
 [1.4455481  1.7591649 ]
 [2.07648271 2.81591802]
 [1.70450849 1.99101493]]",0.0001,10043,500.0
299,"[[0.94626153 1.50280619]
 [1.44557523 1.75919725]
 [2.07649132 2.81599353]
 [1.70455074 1.99109584]]",0.0001,10536,500.0
300,"[[0.94633208 1.50289464]
 [1.44565804 1.75922595]
 [2.07653454 2.81601382]
 [1.70457409 1.99119308]]",0.0001,10538,500.0
301,"[[0.94636391 1.50295789]
 [1.44566619 1.75925826]
 [2.07654999 2.81607209]
 [1.70462756 1.99120332]]",0.0001,10540,500.0
302,"[[0.94645241 1.50304762]
 [1.4457155  1.75933312]
 [2.07662848 2.81614696]
 [1.70469239 1.99123482]]",0.0001,10540,500.0
303,"[[0.9465171  1.50309316]
 [1.44575907 1.75941761]
 [2.07667543 2.81616281]
 [1.70473851 1.99130519]]",0.0001,10541,500.0
304,"[[0.9465938  1.50309793]
 [1.44583073 1.75951083]
 [2.07670925 2.81617919]
 [1.70479884 1.99137916]]",0.0001,10541,500.0
305,"[[0.94661648 1.50310887]
 [1.44589104 1.75957105]
 [2.07675672 2.81626264]
 [1.70486605 1.99141994]]",0.0001,10541,500.0
306,"[[0.94668682 1.5031679 ]
 [1.445951   1.75966456]
 [2.0768278  2.81627079]
 [1.70492638 1.99150198]]",0.0001,10542,500.0
307,"[[0.94671412 1.50326272]
 [1.44596223 1.75971693]
 [2.07692505 2.81633797]
 [1.7049715  1.9915253 ]]",0.0001,10543,500.0
308,"[[0.94676946 1.50328401]
 [1.44598054 1.75973878]
 [2.07695094 2.81635974]
 [1.70500668 1.991592  ]]",0.0001,10543,500.0
309,"[[0.94684662 1.50338146]
 [1.44605317 1.75976561]
 [2.07695262 2.81641387]
 [1.70505809 1.99162725]]",0.0001,11036,500.0
310,"[[0.94693302 1.50339825]
 [1.44611826 1.75978415]
 [2.07695963 2.81646568]
 [1.7050779  1.99164081]]",0.0001,11038,500.0
311,"[[0.94693505 1.50344831]
 [1.44617763 1.75988221]
 [2.0769885  2.81647327]
 [1.70513858 1.99172784]]",0.0001,11040,500.0
312,"[[0.94696375 1.50349149]
 [1.44621729 1.75990263]
 [2.07699342 2.81655374]
 [1.70522964 1.99181293]]",0.0001,11040,500.0
313,"[[0.9470038  1.5035147 ]
 [1.44627594 1.75995388]
 [2.07708872 2.816588  ]
 [1.70528804 1.99183996]]",0.0001,11041,500.0
314,"[[0.94705237 1.50358401]
 [1.44629471 1.76002453]
 [2.07712568 2.81659345]
 [1.70533868 1.99193371]]",0.0001,11041,500.0
315,"[[0.94710285 1.50362846]
 [1.44634434 1.76003513]
 [2.07720609 2.81669269]
 [1.7054319  1.99201467]]",0.0001,11041,500.0
316,"[[0.94717034 1.5036873 ]
 [1.44640879 1.76010205]
 [2.07727526 2.81676179]
 [1.705482   1.99209343]]",0.0001,11042,500.0
317,"[[0.94723836 1.50369992]
 [1.44645654 1.76015192]
 [2.07729891 2.81676437]
 [1.70556098 1.99217653]]",0.0001,11043,500.0
318,"[[0.94729099 1.50377757]
 [1.44655437 1.76016331]
 [2.0772993  2.81684864]
 [1.70565079 1.99222929]]",0.0001,11043,500.0
319,"[[0.94732561 1.5037791 ]
 [1.4465828  1.76018316]
 [2.07732619 2.81694232]
 [1.70568346 1.9922343 ]]",0.0001,11536,500.0
320,"[[0.94732936 1.50387177]
 [1.44664256 1.76018603]
 [2.07734096 2.81700567]
 [1.70576563 1.99227889]]",0.0001,11538,500.0
321,"[[0.94734862 1.50390357]
 [1.44664626 1.76023171]
 [2.07740211 2.81704058]
 [1.70579775 1.99232344]]",0.0001,11540,500.0
322,"[[0.94738802 1.50390475]
 [1.44672453 1.76031322]
 [2.07741889 2.81707912]
 [1.70587434 1.99240002]]",0.0001,11540,500.0
323,"[[0.94748401 1.50399033]
 [1.44675551 1.76032299]
 [2.07751476 2.81709276]
 [1.70587813 1.99249807]]",0.0001,11541,500.0
324,"[[0.94757451 1.50405826]
 [1.44675743 1.76036149]
 [2.07752753 2.81713286]
 [1.70594326 1.99256569]]",0.0001,11541,500.0
325,"[[0.94761541 1.50409255]
 [1.44684342 1.76045598]
 [2.07759879 2.81717577]
 [1.70597083 1.99261455]]",0.0001,11541,500.0
326,"[[0.94768795 1.50416493]
 [1.44689418 1.76046249]
 [2.07765081 2.81718509]
 [1.7060071  1.99263994]]",0.0001,11542,500.0
327,"[[0.94771874 1.50419468]
 [1.4468963  1.76055512]
 [2.07766844 2.81724367]
 [1.70603873 1.9926595 ]]",0.0001,11543,500.0
328,"[[0.9477315  1.50421523]
 [1.44694207 1.76061657]
 [2.07775845 2.81730261]
 [1.7060959  1.99267195]]",0.0001,11543,500.0
329,"[[0.94781687 1.50429121]
 [1.44694425 1.76070148]
 [2.07779761 2.81732519]
 [1.70619549 1.99276978]]",0.0001,12036,500.0
330,"[[0.94790758 1.50431811]
 [1.44700354 1.7607466 ]
 [2.07783163 2.8173973 ]
 [1.70624588 1.99284147]]",0.0001,12038,500.0
331,"[[0.94794456 1.50434382]
 [1.44702827 1.76083499]
 [2.07788152 2.81745341]
 [1.70634551 1.99287221]]",0.0001,12040,500.0
332,"[[0.94794805 1.50443849]
 [1.44706927 1.7609279 ]
 [2.07795136 2.81752667]
 [1.70642557 1.99290025]]",0.0001,12040,500.0
333,"[[0.94800393 1.50450766]
 [1.44713721 1.76094659]
 [2.07798766 2.81755304]
 [1.70650692 1.9929771 ]]",0.0001,12041,500.0
334,"[[0.94802652 1.50458099]
 [1.44715242 1.76103655]
 [2.07806463 2.81757711]
 [1.70655629 1.99297756]]",0.0001,12041,500.0
335,"[[0.94803997 1.50464997]
 [1.44716569 1.76110727]
 [2.07816393 2.81767161]
 [1.7066433  1.99306561]]",0.0001,12041,500.0
336,"[[0.94811799 1.50468835]
 [1.44719985 1.76118745]
 [2.07822329 2.81772395]
 [1.70672101 1.99312269]]",0.0001,12042,500.0
337,"[[0.94820657 1.50470585]
 [1.44726791 1.76120357]
 [2.07827207 2.81778257]
 [1.70678317 1.99312433]]",0.0001,12043,500.0
338,"[[0.9482681  1.50473025]
 [1.44732701 1.76128926]
 [2.07830668 2.81785845]
 [1.70683377 1.99315248]]",0.0001,12043,500.0
339,"[[0.94836295 1.50479745]
 [1.44733547 1.76133699]
 [2.07836805 2.8179371 ]
 [1.70685604 1.9931571 ]]",0.0001,12536,500.0
340,"[[0.94840562 1.50488527]
 [1.44734085 1.761394  ]
 [2.078379   2.81800866]
 [1.70690671 1.9932001 ]]",0.0001,12538,500.0
341,"[[0.94845211 1.50491229]
 [1.44735236 1.76148335]
 [2.07845022 2.81801169]
 [1.7069301  1.99321609]]",0.0001,12540,500.0
342,"[[0.94853985 1.50497986]
 [1.4474453  1.76152635]
 [2.07853163 2.81802011]
 [1.70701322 1.99330353]]",0.0001,12540,500.0
343,"[[0.94855197 1.50502727]
 [1.44745503 1.76155795]
 [2.07860973 2.81803171]
 [1.70708067 1.99338989]]",0.0001,12541,500.0
344,"[[0.94857669 1.50509336]
 [1.44746462 1.76164378]
 [2.07870568 2.81809658]
 [1.70710595 1.99340048]]",0.0001,12541,500.0
345,"[[0.94860437 1.5051129 ]
 [1.44750223 1.76169872]
 [2.07879253 2.81814179]
 [1.70710876 1.99347522]]",0.0001,12541,500.0
346,"[[0.94867522 1.5051804 ]
 [1.44758377 1.76170861]
 [2.07883275 2.8181505 ]
 [1.70719775 1.99348319]]",0.0001,12542,500.0
347,"[[0.94869808 1.50522633]
 [1.44764731 1.76179431]
 [2.07884007 2.81823068]
 [1.70728422 1.99349217]]",0.0001,12543,500.0
348,"[[0.94877418 1.50528046]
 [1.4476771  1.76181958]
 [2.07888024 2.81823274]
 [1.7073214  1.99349493]]",0.0001,12543,500.0
349,"[[0.94879241 1.50531632]
 [1.44773374 1.76184018]
 [2.07896888 2.81823643]
 [1.70732289 1.99355499]]",0.0001,13036,500.0
350,"[[0.94882472 1.50537239]
 [1.44781904 1.76192897]
 [2.07899026 2.81832418]
 [1.70738925 1.9935997 ]]",0.0001,13038,500.0
351,"[[0.94888213 1.50544228]
 [1.44784953 1.76193266]
 [2.07901017 2.81842119]
 [1.70743167 1.99364305]]",0.0001,13040,500.0
352,"[[0.94890924 1.50547758]
 [1.44791651 1.76200473]
 [2.07907278 2.81846157]
 [1.70745598 1.99364822]]",0.0001,13040,500.0
353,"[[0.94895911 1.50552096]
 [1.44793145 1.76204507]
 [2.07911171 2.81855057]
 [1.70751526 1.99371999]]",0.0001,13041,500.0
354,"[[0.94903993 1.50554516]
 [1.44796762 1.76210349]
 [2.07920425 2.81858366]
 [1.70759696 1.99380337]]",0.0001,13041,500.0
355,"[[0.94908749 1.50563685]
 [1.44805536 1.76214119]
 [2.07927171 2.81860819]
 [1.70766135 1.9938978 ]]",0.0001,13041,500.0
356,"[[0.94913273 1.50563691]
 [1.44809453 1.76220719]
 [2.07933015 2.81866878]
 [1.70766927 1.99391432]]",0.0001,13042,500.0
357,"[[0.94920922 1.50572132]
 [1.44811296 1.7622527 ]
 [2.07937867 2.81869388]
 [1.70770383 1.99393637]]",0.0001,13043,500.0
358,"[[0.9493046  1.5057635 ]
 [1.4481744  1.76229251]
 [2.07946996 2.81878311]
 [1.7077277  1.9940315 ]]",0.0001,13043,500.0
359,"[[0.94939048 1.50581425]
 [1.44818368 1.76235524]
 [2.07948092 2.8188755 ]
 [1.70775057 1.99407304]]",0.0001,13536,500.0
360,"[[0.94942948 1.50587524]
 [1.44824922 1.76243854]
 [2.07950119 2.81895562]
 [1.70782205 1.99408006]]",0.0001,13538,500.0
361,"[[0.94947572 1.50593372]
 [1.44829049 1.76247749]
 [2.07954318 2.81905471]
 [1.70786783 1.99417143]]",0.0001,13540,500.0
362,"[[0.94949953 1.5059536 ]
 [1.44831833 1.76247974]
 [2.07954411 2.81910558]
 [1.70795711 1.9941976 ]]",0.0001,13540,500.0
363,"[[0.94954049 1.50597674]
 [1.44836071 1.76257766]
 [2.07956575 2.81912909]
 [1.7079765  1.99422084]]",0.0001,13541,500.0
364,"[[0.9496181  1.50601102]
 [1.448386   1.76263227]
 [2.07963453 2.81920417]
 [1.70800047 1.99426531]]",0.0001,13541,500.0
